InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;customerID;Churn
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4232-JGKIY;No
Fiber optic;No;No;No;No;Yes;No;4234-XTNEA;No
DSL;No;No;No;No;No;No;4236-UJPWO;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;4236-XPXAV;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4237-CLSMM;No
DSL;No;No;No;No;No;No;4237-RLAQD;Yes
Fiber optic;No;Yes;No;No;No;No;4238-HFHSN;No
Fiber optic;No;No;Yes;No;Yes;Yes;4238-JSSWH;No
Fiber optic;No;Yes;Yes;No;No;No;4248-HCETZ;Yes
Fiber optic;Yes;No;Yes;No;No;No;4248-QPAVC;Yes
DSL;Yes;Yes;No;No;No;No;4250-FDVOU;Yes
Fiber optic;Yes;Yes;No;No;No;Yes;4250-WAROZ;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;4250-ZBWLV;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;4254-QPEDE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4255-DDUOU;Yes
DSL;No;No;No;Yes;No;No;4256-ZWTZI;No
DSL;No;No;No;No;Yes;Yes;4257-GAESD;No
Fiber optic;No;No;No;No;Yes;Yes;4273-MBHYA;No
Fiber optic;No;Yes;No;No;Yes;No;4274-DRSQT;No
Fiber optic;No;Yes;No;No;No;No;4274-OWWYO;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4277-BWBML;No
Fiber optic;No;No;No;No;Yes;No;4277-PVRAN;Yes
DSL;Yes;No;No;Yes;Yes;Yes;4277-UDIEF;No
DSL;No;Yes;Yes;No;No;No;4280-DLSHD;No
DSL;No;No;No;No;No;No;4282-ACRXS;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;4282-MSACW;No
Fiber optic;No;No;No;No;No;No;4282-YMKNA;Yes
Fiber optic;No;No;Yes;No;No;No;4283-FUTGF;Yes
DSL;Yes;No;No;Yes;No;Yes;4283-IVYCI;No
Fiber optic;No;No;Yes;No;Yes;No;4285-GYRQC;Yes
Fiber optic;No;Yes;No;No;Yes;Yes;4289-DTDKW;Yes
Fiber optic;No;No;No;Yes;No;No;4290-BSXUX;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4291-HPAXL;No
DSL;No;Yes;No;No;No;Yes;4291-HYEBC;No
Fiber optic;No;No;No;No;No;No;4291-SHSBH;No
DSL;Yes;Yes;Yes;Yes;No;Yes;4291-TPNFG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4291-YZODP;No
DSL;No;Yes;No;Yes;Yes;Yes;4293-ETKAP;No
DSL;Yes;No;No;Yes;Yes;Yes;4295-YURET;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;4298-OYIFC;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4299-OPXEJ;No
Fiber optic;Yes;No;No;No;No;No;4299-SIMNS;No
Fiber optic;No;No;No;No;No;No;4301-VVZKA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4302-ZYFEL;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;4304-TSPVK;No
DSL;Yes;Yes;Yes;No;No;Yes;4304-XUMGI;No
Fiber optic;Yes;No;Yes;No;No;Yes;4307-KTUMW;Yes
DSL;No;Yes;No;Yes;No;No;4307-KWMXE;No
DSL;No;No;Yes;No;No;No;4310-KEDTB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4311-QTTAI;No
DSL;Yes;No;Yes;Yes;No;Yes;4312-GVYNH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4312-KFRXN;No
Fiber optic;Yes;No;No;Yes;Yes;Yes;4315-MURBD;Yes
DSL;Yes;No;No;No;No;No;4316-XCSLJ;No
DSL;No;Yes;No;No;No;No;4317-VTEOA;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4318-RAJVY;No
DSL;No;No;No;No;Yes;No;4320-QMLLA;No
DSL;No;Yes;Yes;Yes;No;Yes;4322-RCYMT;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4323-ELYYB;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;4323-OHFOW;No
DSL;Yes;No;No;Yes;No;No;4323-SADQS;Yes
DSL;Yes;No;Yes;No;No;No;4324-AHJKS;No
DSL;No;Yes;Yes;No;No;No;4324-BZCKL;No
Fiber optic;Yes;No;No;No;Yes;No;4325-NFSKC;Yes
DSL;No;No;No;Yes;No;Yes;4328-VUFWD;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;4329-YPDDQ;No
Fiber optic;Yes;No;Yes;Yes;No;Yes;4332-MUOEZ;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;4334-HOWRP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4335-BSMJS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4335-UPJSI;No
DSL;No;No;No;No;Yes;No;4338-EYCER;No
Fiber optic;No;No;No;No;No;No;4342-HENTK;Yes
DSL;Yes;No;Yes;Yes;Yes;No;4342-HFXWS;No
Fiber optic;Yes;No;No;No;No;No;4343-EJVQB;No
DSL;No;No;Yes;No;No;No;4349-GFQHK;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;4350-ZTLPI;No
DSL;No;No;No;No;Yes;No;4351-QLCSU;Yes
DSL;No;Yes;No;No;No;No;4353-HYOJD;No
Fiber optic;No;No;No;No;Yes;Yes;4355-CVPVS;No
DSL;Yes;No;Yes;No;Yes;Yes;4355-HBJHH;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4359-INNWN;No
Fiber optic;No;No;No;No;No;No;4360-PNRQB;No
DSL;No;Yes;Yes;No;No;No;4360-QRAVE;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;4361-BKAXE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4361-FEBGN;No
DSL;No;No;No;No;No;No;4361-JEIVL;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4365-MSDYN;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;4366-CTOUZ;No
DSL;No;No;No;No;No;No;4367-NHWMM;No
Fiber optic;Yes;No;No;No;Yes;No;4369-HTUIF;Yes
DSL;No;Yes;No;Yes;Yes;Yes;4369-NYSCF;No
Fiber optic;No;Yes;No;No;No;Yes;4373-MAVJG;Yes
DSL;No;No;No;No;No;No;4373-VVHQL;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;4374-YMUSQ;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;4376-KFVRS;No
Fiber optic;Yes;Yes;No;No;No;Yes;4377-VDHYI;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4378-BZYFP;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;4378-MYPGO;No
DSL;Yes;No;Yes;Yes;No;No;4381-MHQDC;No
Fiber optic;No;No;No;Yes;Yes;Yes;4385-GZQXV;Yes
DSL;No;Yes;No;Yes;No;No;4385-ZKVNW;No
Fiber optic;Yes;No;Yes;No;Yes;Yes;4389-UEFCZ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4390-KYULV;Yes
Fiber optic;No;Yes;Yes;Yes;No;Yes;4391-LNRXK;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;4391-RESHN;Yes
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;4393-GEADV;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4393-OBCRR;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;4393-RYCRE;No
Fiber optic;No;Yes;No;No;No;Yes;4395-PZMSN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4396-KLSEH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4397-FRLTA;No
DSL;No;No;No;Yes;Yes;No;4398-HSCJH;Yes
Fiber optic;Yes;No;Yes;No;Yes;No;4402-FTBXC;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4403-BWPAY;No
DSL;Yes;Yes;Yes;Yes;Yes;No;4404-HIBDJ;Yes
Fiber optic;No;No;Yes;No;No;No;4412-YLTKF;Yes
Fiber optic;No;No;No;No;No;No;4415-IJZTP;Yes
DSL;Yes;No;Yes;Yes;Yes;Yes;4415-WNGVR;No
DSL;No;Yes;Yes;Yes;No;No;4418-LZMSV;No
Fiber optic;No;No;No;Yes;Yes;Yes;4419-UJMUS;No
DSL;No;No;No;No;No;No;4422-QVIJA;No
Fiber optic;No;No;Yes;No;No;Yes;4423-JWZJN;No
Fiber optic;Yes;No;Yes;No;Yes;Yes;4423-YLHDV;Yes
Fiber optic;No;No;No;No;Yes;Yes;4424-TKOPW;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4425-OWHWB;No
DSL;No;No;No;Yes;No;No;4429-WYGFR;No
DSL;No;Yes;No;Yes;No;No;4430-UZIPO;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4430-YHXGG;No
DSL;Yes;Yes;Yes;Yes;Yes;No;4431-EDMIQ;No
DSL;No;No;No;No;No;No;4432-ADRLB;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;4433-JCGCG;Yes
Fiber optic;No;No;No;Yes;Yes;No;4439-JMPMT;Yes
DSL;No;Yes;No;Yes;No;No;4439-YRNVD;No
Fiber optic;No;No;Yes;No;No;No;4441-NIHPT;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4443-EMBNA;No
DSL;Yes;Yes;No;No;No;No;4445-KWOKW;No
Fiber optic;No;Yes;No;No;Yes;Yes;4445-ZJNMU;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;4446-BZKHU;Yes
Fiber optic;No;No;No;No;No;No;4450-DLLMH;No
Fiber optic;No;No;No;No;No;No;4450-MDZFX;No
DSL;No;No;Yes;No;Yes;Yes;4450-YOOHP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4451-RWASJ;No
DSL;No;No;No;No;No;No;4452-QIIEB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4452-ROHMO;No
Fiber optic;No;No;No;Yes;Yes;Yes;4455-BFSPD;No
DSL;No;No;Yes;No;No;No;4456-RHSNB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4458-KVRBJ;No
DSL;No;No;No;No;Yes;Yes;4459-BBGHE;No
Fiber optic;No;Yes;No;No;No;Yes;4462-CYWMH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4464-JCOLN;Yes
Fiber optic;No;Yes;Yes;No;No;No;4465-VDKIQ;No
DSL;No;Yes;No;No;No;Yes;4468-KAZHE;No
DSL;No;No;No;Yes;No;No;4468-YDOVK;No
Fiber optic;No;No;Yes;Yes;No;No;4471-KXAUH;Yes
Fiber optic;Yes;Yes;Yes;No;No;Yes;4472-VESGY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4475-NVTLU;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;4476-OSWTN;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;4480-MBMLB;No
Fiber optic;No;No;Yes;No;No;No;4480-QQRHC;No
Fiber optic;No;No;No;No;No;No;4482-EWFMI;No
DSL;No;No;Yes;Yes;No;No;4482-FTFFX;No
DSL;No;No;No;No;No;Yes;4484-CGXFK;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;4484-GLZOU;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4486-EFAEB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4487-ZYJZK;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;4488-KQFDT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4488-PSYCG;Yes
DSL;Yes;No;Yes;Yes;Yes;No;4489-SNOJF;Yes
DSL;Yes;No;No;No;No;No;4495-LHSSK;No
DSL;No;Yes;No;Yes;No;No;4500-HKANN;No
Fiber optic;No;No;No;No;No;No;4501-EQDRN;Yes
DSL;No;No;Yes;Yes;No;Yes;4501-UYKBC;No
DSL;No;No;Yes;Yes;No;No;4501-VCPFK;No
Fiber optic;No;Yes;No;No;No;No;4503-BDXBD;Yes
DSL;Yes;Yes;No;No;No;No;4504-YOULA;No
Fiber optic;No;No;Yes;No;No;No;4505-EXZHB;Yes
DSL;Yes;Yes;Yes;Yes;No;Yes;4508-OEBEY;No
Fiber optic;No;No;No;No;No;No;4510-HIMLV;Yes
DSL;Yes;Yes;No;No;No;No;4510-PYUSH;Yes
Fiber optic;No;No;No;No;No;No;4512-ZUIYL;Yes
Fiber optic;Yes;No;No;No;No;No;4513-CXYIX;No
Fiber optic;No;No;No;No;Yes;No;4514-GFCFI;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4518-FZBSX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4521-WFJAI;No
Fiber optic;No;No;No;Yes;Yes;No;4521-YEEHE;No
DSL;No;Yes;Yes;No;No;No;4522-AKYLR;No
DSL;Yes;No;No;Yes;Yes;Yes;4522-XRWWI;No
Fiber optic;No;Yes;No;No;Yes;Yes;4523-WXCEF;Yes
DSL;Yes;Yes;No;No;No;Yes;4524-QCSSM;No
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;4525-VZCZG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4526-EXKKN;No
DSL;Yes;Yes;No;Yes;No;Yes;4526-RMTLL;No
Fiber optic;No;Yes;Yes;No;No;Yes;4526-ZJJTM;No
Fiber optic;No;No;No;No;Yes;No;4529-CKBCL;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4530-NDRKU;No
Fiber optic;Yes;No;No;Yes;Yes;No;4531-AUZNK;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4534-WGCIR;No
Fiber optic;No;Yes;No;No;No;Yes;4536-PLEQY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4537-CIBHB;No
DSL;No;No;No;No;No;No;4537-DKTAL;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4538-WNTMJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4541-RMRLG;Yes
DSL;No;No;No;No;No;No;4544-RXFMG;No
Fiber optic;No;No;No;No;No;No;4546-FOKWR;No
DSL;Yes;No;No;No;No;Yes;4547-FZJWE;No
Fiber optic;No;Yes;No;No;No;No;4547-KQRTM;Yes
Fiber optic;No;No;No;No;No;No;4547-LYTDD;Yes
Fiber optic;No;No;No;No;Yes;No;4548-SDBKE;Yes
DSL;Yes;No;Yes;Yes;No;No;4549-ZDQYY;No
Fiber optic;No;No;No;No;No;No;4550-EVXNY;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;4550-VBOFE;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;4553-DVPZG;No
Fiber optic;No;Yes;No;No;No;Yes;4554-YGZIH;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4558-CGYCZ;No
Fiber optic;Yes;No;No;Yes;Yes;No;4558-FANTW;Yes
Fiber optic;No;Yes;Yes;No;No;No;4559-UWIHT;No
DSL;Yes;No;No;Yes;No;Yes;4560-WQAQW;No
DSL;Yes;Yes;No;Yes;No;No;4565-EVZMJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4565-NLZBV;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;4566-GOLUK;Yes
Fiber optic;No;Yes;Yes;No;No;Yes;4566-NECEV;No
DSL;No;No;No;No;No;No;4566-QVRRW;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;4567-AKPIA;No
DSL;Yes;Yes;No;No;Yes;No;4568-KNYWR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4568-TTZRT;No
DSL;No;No;No;No;No;No;4570-QHXHL;No
Fiber optic;No;No;No;No;No;Yes;4572-DVCGN;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4573-JKNAE;No
DSL;No;Yes;No;Yes;No;No;4576-CSAJH;Yes
DSL;No;Yes;Yes;Yes;Yes;No;4578-PHJYZ;No
DSL;No;No;No;No;Yes;No;4580-TMHJU;Yes
DSL;No;No;Yes;No;Yes;Yes;4581-LNWUM;No
Fiber optic;No;No;No;No;No;No;4581-SSPWD;Yes
Fiber optic;No;No;Yes;Yes;No;Yes;4583-PARNH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4584-LBNMK;No
Fiber optic;No;No;Yes;No;No;No;4585-HETAI;Yes
Fiber optic;Yes;Yes;No;No;No;No;4587-NUKOX;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;4587-VVTOX;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4588-YBNIB;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4589-IUAJB;No
DSL;Yes;No;No;No;No;No;4592-IWTJI;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4597-ELFTS;Yes
Fiber optic;No;Yes;No;No;Yes;Yes;4597-NUCQV;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;4598-XLKNJ;Yes
DSL;Yes;Yes;Yes;Yes;Yes;No;4598-ZADCK;No
Fiber optic;No;No;No;No;No;No;4603-JANFB;Yes
Fiber optic;No;No;No;No;Yes;Yes;4607-CHPCA;Yes
DSL;No;No;No;No;No;No;4608-LCIMN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4609-KNNWG;No
DSL;Yes;Yes;Yes;No;No;Yes;4611-ANLQC;No
Fiber optic;No;No;No;No;No;Yes;4612-SSVHJ;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;4612-THJBS;Yes
Fiber optic;No;No;No;No;No;Yes;4614-NUVZD;Yes
DSL;No;No;Yes;Yes;No;Yes;4615-PIVVU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4616-EWBNJ;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;4616-ULAOA;No
Fiber optic;No;No;No;No;Yes;Yes;4619-EVPHY;No
Fiber optic;Yes;No;No;Yes;Yes;No;4622-YNKIJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4623-ZKHLY;No
DSL;Yes;No;No;No;No;No;4625-EWPTF;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4625-LAMOB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4625-XMOYM;No
Fiber optic;No;No;No;No;Yes;Yes;4626-GYCZP;Yes
DSL;No;Yes;No;Yes;Yes;Yes;4626-OZDTJ;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;4627-MIHJH;No
DSL;No;Yes;No;No;Yes;No;4628-CTTLA;Yes
Fiber optic;No;No;Yes;No;Yes;No;4628-WQCQQ;Yes
Fiber optic;No;No;No;No;No;No;4629-NRXKX;Yes
Fiber optic;No;No;No;No;No;Yes;4631-OACRM;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4632-PAOYU;No
DSL;Yes;Yes;No;Yes;No;No;4632-XJMEX;No
Fiber optic;No;No;No;No;Yes;Yes;4633-MKHYU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4634-JLRJT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4635-EJYPD;No
Fiber optic;No;Yes;No;No;No;Yes;4636-JGAAI;No
DSL;No;Yes;Yes;Yes;No;No;4636-OLWOE;No
Fiber optic;No;No;No;Yes;No;No;4636-QRJKY;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4636-TVXVG;No
DSL;No;No;No;No;No;Yes;4640-UHDOS;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4641-FROLU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4644-OBGFZ;No
DSL;Yes;No;Yes;No;Yes;No;4644-PIZRT;No
DSL;Yes;No;Yes;Yes;Yes;Yes;4646-QZXTF;No
Fiber optic;No;No;Yes;No;Yes;Yes;4647-MUZON;No
DSL;No;No;No;No;No;No;4647-XXZAM;No
DSL;No;Yes;Yes;Yes;No;Yes;4648-YPBTM;No
Fiber optic;No;No;No;No;No;No;4652-NNHNY;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4652-ODEVH;No
Fiber optic;Yes;Yes;Yes;No;No;Yes;4654-DLAMQ;No
DSL;Yes;Yes;No;Yes;No;No;4654-GGUII;No
DSL;Yes;No;Yes;Yes;No;Yes;4654-ULTTN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4656-CAURT;No
Fiber optic;No;Yes;Yes;No;Yes;No;4657-FWVFY;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;4658-HCOHW;Yes
Fiber optic;Yes;Yes;No;No;No;Yes;4659-NZRUF;Yes
Fiber optic;Yes;No;Yes;No;Yes;No;4660-IRIBM;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4661-NJEUX;No
DSL;No;No;No;No;No;Yes;4662-EKDPQ;Yes
DSL;Yes;No;Yes;Yes;Yes;Yes;4664-NJCMS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4667-OHGKG;Yes
DSL;Yes;Yes;Yes;Yes;No;Yes;4667-QONEA;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;4670-TABXH;No
DSL;No;No;No;No;No;No;4671-LXRDQ;Yes
DSL;Yes;Yes;Yes;Yes;Yes;No;4671-VJLCL;No
DSL;Yes;Yes;No;Yes;No;No;4672-FOTSD;No
Fiber optic;Yes;No;Yes;Yes;No;No;4673-KKSLS;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;4674-HGNUA;No
Fiber optic;Yes;Yes;Yes;No;Yes;No;4676-MQUEA;No
DSL;Yes;Yes;No;No;No;Yes;4676-WLUHT;No
DSL;No;No;No;Yes;No;No;4678-DVQEO;Yes
DSL;Yes;No;No;No;No;No;4680-KUTAJ;No
DSL;No;Yes;Yes;Yes;Yes;No;4682-BLBUC;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;4683-WYDOU;No
Fiber optic;No;No;No;No;Yes;No;4685-ERGHK;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4685-TFLLS;No
Fiber optic;No;Yes;Yes;Yes;No;Yes;4686-GEFRM;No
Fiber optic;No;Yes;No;No;Yes;Yes;4686-UXDML;No
DSL;No;No;No;No;No;No;4690-LLKUA;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;4690-PKDQG;No
Fiber optic;No;No;Yes;Yes;No;No;4692-NNQRU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4693-VWVBO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4694-PHWFW;No
DSL;No;No;Yes;No;No;Yes;4695-VADHF;Yes
Fiber optic;No;No;Yes;No;No;Yes;4695-WJZUE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4697-LUPSU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4698-KVLLG;No
DSL;Yes;No;No;No;Yes;Yes;4700-UBQMV;No
DSL;No;No;Yes;Yes;Yes;Yes;4701-AHWMW;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;4701-LKOZD;No
DSL;No;No;Yes;Yes;No;No;4701-MLJPN;Yes
DSL;Yes;No;Yes;Yes;Yes;No;4702-HDRKD;No
Fiber optic;No;No;No;No;No;No;4702-IOQDC;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4703-MQYKT;No
Fiber optic;No;No;No;No;No;No;4704-ERYFC;Yes
Fiber optic;No;No;No;No;No;Yes;4706-AXVKM;Yes
DSL;No;No;No;No;No;No;4706-DGAHW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4707-MAXGU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4707-YNOQA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4709-LKHYG;No
Fiber optic;No;Yes;No;No;Yes;Yes;4710-FDUIZ;Yes
DSL;Yes;Yes;No;Yes;No;No;4710-NKCAW;No
DSL;Yes;No;Yes;No;No;No;4712-AUQZO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4712-UYOOI;No
Fiber optic;No;No;No;No;No;Yes;4713-LZDRV;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;4713-ZBURT;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;4716-HHKQH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4716-MRVEN;No
DSL;No;Yes;No;Yes;Yes;Yes;4717-GHADL;No
DSL;No;No;No;No;Yes;No;4718-DHSMV;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;4718-WXBGI;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4719-UMSIY;No
Fiber optic;No;Yes;Yes;No;No;No;4720-VSTSI;Yes
DSL;Yes;No;Yes;Yes;Yes;Yes;4723-BEGSG;No
Fiber optic;Yes;No;No;Yes;No;Yes;4724-WXVWF;No
DSL;Yes;Yes;No;No;Yes;No;4726-DLWQN;No
DSL;No;No;No;No;No;Yes;4727-MCYZG;No
DSL;No;No;No;No;No;No;4729-XKASR;Yes
DSL;Yes;No;Yes;Yes;Yes;Yes;4730-AWNAU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4732-RRJZC;No
Fiber optic;No;No;Yes;No;Yes;Yes;4735-ASGMA;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4735-BJKOU;No
DSL;Yes;Yes;Yes;Yes;No;No;4737-AQCPU;No
DSL;No;No;Yes;Yes;Yes;Yes;4737-HOBAX;No
Fiber optic;Yes;No;No;Yes;No;No;4741-WWJQZ;No
Fiber optic;Yes;No;Yes;No;Yes;No;4742-DRORA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4742-TXUEX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4745-LSPLO;Yes
DSL;Yes;Yes;No;Yes;Yes;Yes;4747-LCAQL;No
Fiber optic;No;No;No;No;No;No;4749-OJKQU;No
DSL;No;No;No;No;No;No;4749-VFKVB;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4750-UKWJK;No
Fiber optic;No;No;No;No;No;Yes;4750-ZRXIU;Yes
DSL;No;Yes;Yes;No;Yes;Yes;4751-ERMAN;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;4753-PADAS;No
DSL;No;Yes;No;Yes;Yes;Yes;4759-PXTAN;No
Fiber optic;No;No;No;No;No;No;4759-TRPLW;Yes
Fiber optic;Yes;Yes;No;No;No;Yes;4760-THGOT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4760-XOHVN;Yes
Fiber optic;No;No;No;No;No;No;4763-PGDPO;Yes
DSL;Yes;Yes;Yes;Yes;No;No;4765-OXPPD;Yes
Fiber optic;No;Yes;Yes;No;No;No;4767-HZZHQ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4770-QAZXN;No
Fiber optic;No;Yes;No;No;No;No;4770-UEZOX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;4774-HHGGS;No
